no,Condition,ConditionSession,Trial,color of s1,color of s2,color of s3,color of s4,color of s5,color of s6,color of s7,color of s8,color of tg1,color of tg2,color of tg3,color of tg4,color of tg5,color of tg6,color of tg7,color of tg8,location 1,location 2,location 3,location 4,location 5,location 6,location 7,location 8,"matching setting (1=yes, 0=no)","response key (1=R, 0=L)",Correct,Response Time,
1,2,12,6,1,1,2,2,4,5,6,7,1,1,2,2,4,5,6,7,9,20,3,10,15,17,18,6,1,1,1,0.506,
1,2,12,7,1,2,2,3,4,4,6,6,1,2,2,3,4,4,6,6,4,19,15,12,13,6,10,8,1,1,1,0.548,
1,2,12,8,1,1,2,2,3,4,5,7,1,1,2,2,3,4,5,7,6,3,18,20,9,14,13,16,1,1,1,0.524,
1,2,12,9,1,1,2,2,3,4,6,7,1,1,2,2,3,4,5,7,3,10,19,4,12,18,20,6,0,0,1,0.829,
1,2,12,10,1,2,3,4,4,5,7,7,1,2,3,4,4,6,7,7,16,13,9,6,17,14,19,3,0,0,1,1.411,
1,2,12,11,2,2,3,4,5,6,7,7,2,2,3,4,6,6,7,7,9,13,7,10,6,1,18,4,0,0,1,0.909,
1,2,12,12,1,3,4,5,5,6,6,7,2,3,4,5,5,6,6,7,20,4,15,10,8,19,14,11,0,1,0,0.526,
1,2,12,13,1,1,2,2,3,4,7,7,1,1,2,2,3,4,7,7,10,1,8,17,11,16,4,7,1,1,1,0.609,
1,2,12,14,3,3,4,4,5,6,6,7,5,3,4,4,5,6,6,7,16,3,12,11,8,19,10,1,0,1,0,1.642,
1,2,12,15,2,2,3,4,5,6,6,7,2,5,3,4,5,6,6,7,4,19,1,7,2,11,17,15,0,1,0,0.652,
1,2,12,16,1,1,2,3,3,5,5,7,1,1,2,3,3,5,5,7,14,5,8,4,11,2,12,16,1,1,1,0.583,
1,2,12,17,1,1,2,3,6,6,7,7,1,1,2,3,6,6,7,7,1,4,8,9,12,19,2,15,1,1,1,0.527,
1,2,12,18,1,1,2,3,4,6,7,7,1,1,2,3,4,6,7,7,3,1,6,13,10,11,2,8,1,1,1,0.539,
1,2,12,19,1,1,2,3,4,6,6,7,1,1,2,3,4,6,6,7,12,17,6,20,16,19,5,7,1,1,1,0.548,
1,2,12,20,1,2,4,4,5,5,7,7,1,2,3,4,5,5,7,7,4,17,13,3,1,18,16,9,0,0,1,0.755,
1,2,12,21,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,12,8,10,6,3,14,5,13,1,1,1,0.591,
1,2,12,22,1,2,3,4,4,5,6,6,1,2,3,4,4,5,6,6,18,14,15,3,10,13,8,5,1,1,1,0.547,
1,2,12,23,2,3,4,4,5,5,6,6,7,3,4,4,5,5,6,6,9,20,5,7,18,4,3,16,0,0,1,0.687,
1,2,12,24,1,2,3,3,4,6,6,7,1,2,3,3,5,6,6,7,10,18,20,16,9,4,11,3,0,0,1,1.305,
1,2,12,25,3,3,4,4,5,5,6,7,3,3,7,4,5,5,6,7,3,15,8,12,16,11,9,20,0,0,1,1.359,
1,2,12,26,3,4,5,5,6,6,7,7,3,4,4,5,6,6,7,7,9,13,3,14,18,7,6,4,0,1,0,0.522,
1,2,12,27,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,8,4,10,2,18,3,13,17,1,1,1,0.483,
1,2,12,28,1,2,3,5,5,6,6,7,1,4,3,5,5,6,6,7,2,18,12,13,8,19,9,20,0,1,0,0.488,
1,2,12,29,2,3,4,5,5,6,6,7,1,3,4,5,5,6,6,7,5,20,17,8,16,12,10,1,0,0,1,0.685,
1,2,12,30,1,2,2,3,3,4,5,7,1,2,2,3,3,4,5,7,12,18,17,7,4,20,1,5,1,1,1,0.496,
1,2,12,31,1,3,4,4,5,6,7,7,1,3,4,3,5,6,7,7,13,8,10,16,14,2,15,9,0,1,0,0.796,
1,2,12,32,1,1,2,4,5,6,6,7,1,1,2,4,5,6,6,7,14,3,16,9,7,19,6,10,1,1,1,0.487,
1,2,12,33,1,1,2,3,3,4,5,6,1,1,2,3,3,4,5,6,9,1,7,17,6,16,3,19,1,0,0,0.987,
1,2,12,34,2,3,3,4,4,5,6,7,1,3,3,4,4,5,6,7,2,8,1,6,3,19,10,20,0,0,1,0.835,
1,2,12,35,1,1,2,3,3,4,5,7,1,1,2,3,3,4,5,7,5,1,15,3,19,4,11,12,1,1,1,0.62,
1,2,12,36,1,3,4,5,5,6,7,7,1,3,4,1,5,6,7,7,18,9,5,19,13,6,17,20,0,1,0,0.781,
1,2,12,37,1,2,2,3,5,5,7,7,1,2,2,4,5,5,7,7,7,15,19,13,16,4,10,5,0,1,0,1.243,
1,2,12,38,1,2,2,3,4,6,7,7,1,2,2,3,4,5,7,7,9,5,10,13,3,7,19,15,0,0,1,0.997,
1,2,12,39,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,15,7,17,9,1,11,5,19,1,1,1,0.791,
1,2,12,40,1,1,3,4,5,6,7,7,1,1,3,4,5,6,7,7,4,13,9,8,2,14,7,6,1,1,1,0.457,
1,3,13,1,4,7,2,1,8,8,8,8,4,7,2,3,8,8,8,8,7,6,8,13,10,17,19,20,0,0,1,0.96,
1,3,13,2,4,1,6,3,8,8,8,8,4,1,6,2,8,8,8,8,6,12,5,18,9,4,13,3,0,0,1,0.721,
1,3,13,3,6,7,4,5,8,8,8,8,6,7,4,2,8,8,8,8,2,8,1,13,9,7,10,11,0,0,1,0.637,
