no,Condition,ConditionSession,Trial,color of s1,color of s2,color of s3,color of s4,color of s5,color of s6,color of s7,color of s8,color of tg1,color of tg2,color of tg3,color of tg4,color of tg5,color of tg6,color of tg7,color of tg8,location 1,location 2,location 3,location 4,location 5,location 6,location 7,location 8,"matching setting (1=yes, 0=no)","response key (1=R, 0=L)",Correct,Response Time,
4,1,4,25,4,5,7,2,8,8,8,8,4,5,7,1,8,8,8,8,18,13,11,17,15,20,9,19,0,0,1,0.528,
4,1,4,26,3,5,6,7,8,8,8,8,3,5,6,7,8,8,8,8,13,6,11,12,19,9,17,10,1,1,1,0.465,
4,1,4,27,1,7,6,5,8,8,8,8,1,7,6,5,8,8,8,8,4,10,2,12,15,7,3,19,1,1,1,0.43,
4,1,4,28,7,6,2,3,8,8,8,8,7,6,2,4,8,8,8,8,3,15,11,14,19,8,7,10,0,0,1,0.545,
4,1,4,29,4,1,6,3,8,8,8,8,4,1,6,2,8,8,8,8,2,12,7,5,13,19,4,11,0,1,0,0.476,
4,1,4,30,7,4,6,1,8,8,8,8,7,4,6,5,8,8,8,8,18,8,10,6,15,5,14,1,0,0,1,0.547,
4,1,4,31,7,2,5,6,8,8,8,8,7,2,5,1,8,8,8,8,14,11,1,15,10,3,16,6,0,0,1,0.585,
4,1,4,32,3,7,4,6,8,8,8,8,3,7,4,6,8,8,8,8,4,16,8,13,7,10,20,18,1,1,1,0.461,
4,1,4,33,5,6,7,2,8,8,8,8,5,6,7,4,8,8,8,8,2,13,18,4,19,20,3,15,0,0,1,0.512,
4,1,4,34,1,5,2,6,8,8,8,8,1,5,2,6,8,8,8,8,19,11,20,8,1,2,6,3,1,1,1,0.48,
4,1,4,35,3,6,2,4,8,8,8,8,3,6,2,4,8,8,8,8,4,18,5,6,16,15,10,2,1,1,1,0.425,
4,1,4,36,6,7,4,5,8,8,8,8,6,7,4,2,8,8,8,8,15,14,13,9,7,2,1,17,0,1,0,0.617,
4,1,4,37,4,7,2,1,8,8,8,8,4,7,2,3,8,8,8,8,20,10,14,8,5,13,3,6,0,0,1,0.449,
4,1,4,38,5,2,3,4,8,8,8,8,5,2,3,7,8,8,8,8,3,2,9,6,10,14,4,7,0,0,1,0.855,
4,1,4,39,5,4,1,7,8,8,8,8,5,4,1,3,8,8,8,8,16,11,6,20,1,17,4,9,0,0,1,0.766,
4,1,4,40,2,4,5,6,8,8,8,8,2,4,5,6,8,8,8,8,20,1,6,14,19,4,7,12,1,0,0,0.679,
5,1,11,1,5,1,2,3,8,8,8,8,5,1,2,7,8,8,8,8,17,4,1,19,20,9,3,6,0,0,1,1.146,
5,1,11,2,4,2,1,6,8,8,8,8,4,2,1,6,8,8,8,8,11,10,2,7,13,9,4,12,1,1,1,0.838,
5,1,11,3,3,7,4,6,8,8,8,8,3,7,4,6,8,8,8,8,13,16,5,3,15,10,19,14,1,1,1,1.061,
5,1,11,4,6,3,5,1,8,8,8,8,6,3,5,4,8,8,8,8,13,5,7,16,9,10,2,8,0,0,1,0.653,
5,1,11,5,3,5,6,7,8,8,8,8,3,5,6,7,8,8,8,8,16,14,11,12,7,2,6,1,1,1,1,0.722,
5,1,11,6,5,2,3,4,8,8,8,8,5,2,3,7,8,8,8,8,5,4,1,19,11,18,6,7,0,0,1,0.968,
5,1,11,7,1,5,6,7,8,8,8,8,1,5,6,7,8,8,8,8,11,2,5,3,7,19,8,15,1,1,1,0.85,
5,1,11,8,7,4,6,1,8,8,8,8,7,4,6,5,8,8,8,8,20,16,5,15,13,9,14,1,0,0,1,0.798,
5,1,11,9,5,3,4,6,8,8,8,8,5,3,4,2,8,8,8,8,6,2,9,3,18,17,16,14,0,0,1,1.041,
5,1,11,10,1,5,2,6,8,8,8,8,1,5,2,6,8,8,8,8,9,15,6,5,18,11,17,4,1,0,0,1.949,
5,1,11,11,5,7,6,1,8,8,8,8,5,7,6,3,8,8,8,8,3,18,15,13,16,17,10,5,0,0,1,1.003,
5,1,11,12,7,6,2,3,8,8,8,8,7,6,2,4,8,8,8,8,9,13,7,10,20,2,14,4,0,0,1,0.649,
5,1,11,13,4,7,2,1,8,8,8,8,4,7,2,3,8,8,8,8,1,6,13,12,18,11,4,9,0,0,1,0.795,
5,1,11,14,7,2,5,6,8,8,8,8,7,2,5,1,8,8,8,8,6,20,19,8,16,11,14,4,0,0,1,0.882,
5,1,11,15,1,2,7,4,8,8,8,8,1,2,7,4,8,8,8,8,19,1,14,4,10,18,8,20,1,1,1,0.692,
5,1,11,16,2,3,6,7,8,8,8,8,2,3,6,7,8,8,8,8,9,13,16,15,5,8,3,20,1,1,1,0.552,
5,1,11,17,6,1,2,7,8,8,8,8,6,1,2,5,8,8,8,8,16,4,12,20,10,13,14,15,0,0,1,0.761,
5,1,11,18,7,5,3,4,8,8,8,8,7,5,3,6,8,8,8,8,8,7,2,4,1,17,5,15,0,0,1,0.899,
5,1,11,19,4,5,7,2,8,8,8,8,4,5,7,1,8,8,8,8,4,13,18,16,20,8,12,5,0,0,1,0.594,
5,1,11,20,3,4,1,5,8,8,8,8,3,4,1,5,8,8,8,8,12,15,16,11,4,19,6,14,1,1,1,0.744,
5,1,11,21,6,5,3,4,8,8,8,8,6,5,3,1,8,8,8,8,13,6,5,11,4,10,14,15,0,0,1,0.9,
5,1,11,22,6,4,1,3,8,8,8,8,6,4,1,7,8,8,8,8,4,3,13,11,15,1,5,2,0,0,1,0.713,
5,1,11,23,2,6,4,3,8,8,8,8,2,6,4,3,8,8,8,8,6,20,16,13,5,17,1,19,1,1,1,0.629,
5,1,11,24,2,3,1,4,8,8,8,8,2,3,1,4,8,8,8,8,3,18,19,20,17,2,10,1,1,1,1,1.084,
5,1,11,25,7,3,1,2,8,8,8,8,7,3,1,6,8,8,8,8,9,1,10,13,20,4,12,6,0,0,1,1.154,
5,1,11,26,6,7,4,5,8,8,8,8,6,7,4,2,8,8,8,8,4,18,7,20,2,1,8,10,0,1,0,1.379,
5,1,11,27,3,2,7,1,8,8,8,8,3,2,7,1,8,8,8,8,13,5,10,12,19,18,1,11,1,1,1,0.778,
5,1,11,28,1,4,3,2,8,8,8,8,1,4,3,2,8,8,8,8,19,15,20,8,13,18,7,10,1,1,1,0.807,
5,1,11,29,3,6,2,4,8,8,8,8,3,6,2,4,8,8,8,8,9,16,12,7,6,15,14,11,1,1,1,0.558,
5,1,11,30,4,1,6,3,8,8,8,8,4,1,6,2,8,8,8,8,10,1,19,17,6,2,7,20,0,1,0,0.754,
5,1,11,31,4,6,3,5,8,8,8,8,4,6,3,5,8,8,8,8,6,13,18,4,14,16,10,8,1,1,1,0.699,
5,1,11,32,1,7,6,5,8,8,8,8,1,7,6,5,8,8,8,8,3,7,5,6,19,10,1,12,1,1,1,0.419,
5,1,11,33,4,3,2,7,8,8,8,8,4,3,2,7,8,8,8,8,20,18,9,15,13,4,3,17,1,1,1,0.458,
5,1,11,34,2,4,5,6,8,8,8,8,2,4,5,6,8,8,8,8,15,14,17,1,12,7,13,11,1,1,1,0.407,
5,1,11,35,2,5,3,1,8,8,8,8,2,5,3,1,8,8,8,8,16,5,9,17,20,6,2,13,1,1,1,0.656,
5,1,11,36,5,4,1,7,8,8,8,8,5,4,1,3,8,8,8,8,1,12,8,19,15,7,16,5,0,0,1,0.752,
5,1,11,37,5,6,7,2,8,8,8,8,5,6,7,4,8,8,8,8,17,7,16,18,8,13,6,14,0,0,1,1.184,
5,1,11,38,2,1,7,5,8,8,8,8,2,1,7,5,8,8,8,8,20,15,14,18,2,16,9,10,1,1,1,0.551,
5,1,11,39,1,2,5,3,8,8,8,8,1,2,5,3,8,8,8,8,9,20,5,6,12,16,15,18,1,1,1,0.656,
5,1,11,40,7,1,4,5,8,8,8,8,7,1,4,6,8,8,8,8,19,14,9,7,6,8,3,11,0,0,1,0.617,
5,2,12,1,2,2,3,4,5,6,6,7,2,5,3,4,5,6,6,7,11,13,5,9,4,1,3,18,0,1,0,0.529,
5,2,12,2,1,2,3,5,5,6,6,7,1,4,3,5,5,6,6,7,5,16,4,17,20,12,7,3,0,1,0,0.528,
5,2,12,3,1,1,2,3,3,5,5,7,1,1,2,3,3,5,5,7,6,13,2,16,10,19,18,11,1,1,1,0.633,
5,2,12,4,3,3,4,4,5,5,6,7,3,3,7,4,5,5,6,7,4,2,6,3,11,8,5,20,0,1,0,0.544,
5,2,12,5,1,1,2,4,5,6,6,7,1,1,2,4,5,6,6,7,18,7,9,14,2,13,10,20,1,1,1,0.451,
5,2,12,6,1,2,2,3,4,6,7,7,1,2,2,3,4,5,7,7,18,20,8,5,16,14,1,4,0,0,1,0.975,
5,2,12,7,1,2,3,3,4,6,6,7,1,2,3,3,5,6,6,7,8,3,17,20,4,9,10,11,0,1,0,0.945,
5,2,12,8,1,2,2,3,5,5,7,7,1,2,2,4,5,5,7,7,8,6,20,16,13,19,9,12,0,1,0,0.462,
5,2,12,9,1,2,2,3,3,4,5,7,6,2,2,3,3,4,5,7,3,20,4,9,5,12,13,1,0,1,0,0.444,
5,2,12,10,1,1,2,3,4,6,6,7,1,1,2,3,4,6,6,7,17,15,18,11,8,3,19,10,1,1,1,0.776,
5,2,12,11,1,1,2,2,4,5,6,7,1,1,2,2,4,5,6,7,19,8,12,5,13,15,9,4,1,1,1,0.412,
5,2,12,12,3,3,4,4,5,6,6,7,5,3,4,4,5,6,6,7,4,5,6,1,12,17,19,7,0,1,0,0.482,
5,2,12,13,1,1,3,4,5,6,7,7,1,1,3,4,5,6,7,7,19,14,18,11,5,7,9,4,1,1,1,0.828,
5,2,12,14,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,7,20,5,3,10,17,4,19,1,1,1,1.1,
5,2,12,15,1,1,2,3,3,4,5,7,1,1,2,3,3,4,5,7,4,18,13,16,11,12,10,17,1,1,1,0.526,
5,2,12,16,2,3,4,4,5,5,6,6,7,3,4,4,5,5,6,6,12,8,3,17,20,16,13,5,0,1,0,0.625,
5,2,12,17,1,1,2,4,4,5,6,7,1,1,2,4,4,5,6,7,14,15,16,19,6,5,7,3,1,1,1,0.664,
5,2,12,18,1,1,2,3,4,6,7,7,1,1,2,3,4,6,7,7,20,19,13,1,12,15,17,10,1,1,1,0.633,
5,2,12,19,1,3,4,5,5,6,6,7,2,3,4,5,5,6,6,7,12,1,5,14,4,2,11,3,0,0,1,0.939,
5,2,12,20,1,2,3,4,4,5,6,6,1,2,3,4,4,5,6,6,2,1,12,11,6,14,7,13,1,1,1,0.566,
5,2,12,21,1,1,2,3,3,4,5,6,1,1,2,3,3,4,5,6,12,5,19,10,18,17,1,14,1,1,1,0.404,
5,2,12,22,1,2,2,3,3,4,5,7,1,2,2,3,3,4,5,7,17,1,16,15,5,2,20,4,1,1,1,0.522,
5,2,12,23,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,16,8,3,7,1,5,13,19,1,1,1,1.937,
5,2,12,24,2,3,3,4,4,5,6,7,1,3,3,4,4,5,6,7,19,4,3,15,16,7,14,18,0,0,1,0.609,
5,2,12,25,1,1,2,2,3,4,5,7,1,1,2,2,3,4,5,7,9,2,6,16,20,18,8,5,1,1,1,0.541,
5,2,12,26,3,4,5,5,6,6,7,7,3,4,4,5,6,6,7,7,4,16,11,3,7,13,9,19,0,0,1,0.911,
5,2,12,27,1,3,4,4,5,6,7,7,1,3,4,3,5,6,7,7,5,11,20,3,4,6,17,9,0,1,0,0.412,
5,2,12,28,1,1,2,2,3,4,6,7,1,1,2,2,3,4,5,7,5,18,12,8,9,6,20,15,0,1,0,0.42,
5,2,12,29,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,6,11,19,7,15,12,16,18,1,1,1,0.543,
5,2,12,30,1,1,3,3,4,4,5,7,1,1,3,3,4,4,5,7,16,5,12,11,20,6,18,13,1,1,1,0.711,
5,2,12,31,1,1,2,2,3,4,7,7,1,1,2,2,3,4,7,7,9,8,19,20,15,13,7,5,1,1,1,0.448,
5,2,12,32,1,1,2,3,6,6,7,7,1,1,2,3,6,6,7,7,9,19,8,6,17,2,1,18,1,1,1,0.532,
5,2,12,33,1,2,3,4,4,5,7,7,1,2,3,4,4,6,7,7,11,19,17,20,1,18,13,8,0,0,1,0.597,
5,2,12,34,1,2,2,3,5,6,7,7,1,1,2,3,5,6,7,7,7,19,3,1,12,11,13,9,0,0,1,0.848,
5,2,12,35,2,2,3,4,5,6,7,7,2,2,3,4,6,6,7,7,4,11,7,6,12,3,17,9,0,0,1,0.906,
5,2,12,36,1,2,4,4,5,5,7,7,1,2,3,4,5,5,7,7,20,1,14,5,18,19,6,15,0,1,0,0.885,
5,2,12,37,1,2,2,3,4,4,6,6,1,2,2,3,4,4,6,6,5,6,9,18,11,3,15,8,1,1,1,0.602,
5,2,12,38,2,3,4,5,5,6,6,7,1,3,4,5,5,6,6,7,13,16,8,1,15,18,7,12,0,1,0,1.276,
5,2,12,39,1,3,4,5,5,6,7,7,1,3,4,1,5,6,7,7,14,18,4,3,19,9,2,11,0,1,0,1.115,
5,2,12,40,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,12,3,19,11,18,16,2,20,1,0,0,0.799,
5,3,13,1,3,5,6,7,8,8,8,8,3,5,6,7,8,8,8,8,20,13,16,6,17,2,7,9,1,1,1,4.049,
5,3,13,2,1,4,3,2,8,8,8,8,1,4,3,2,8,8,8,8,9,6,10,19,12,11,5,15,1,1,1,2.638,
5,3,13,3,1,2,7,4,8,8,8,8,1,2,7,4,8,8,8,8,16,10,4,18,20,11,12,13,1,1,1,1.024,
5,3,13,4,5,1,2,3,8,8,8,8,5,1,2,7,8,8,8,8,7,18,16,20,14,6,13,11,0,1,0,1.37,
5,3,13,5,6,5,3,4,8,8,8,8,6,5,3,1,8,8,8,8,11,19,9,5,1,20,3,7,0,0,1,0.989,
5,3,13,6,6,3,5,1,8,8,8,8,6,3,5,4,8,8,8,8,12,6,18,2,17,10,7,5,0,1,0,1.72,
5,3,13,7,4,5,7,2,8,8,8,8,4,5,7,1,8,8,8,8,12,11,10,18,19,7,5,17,0,1,0,0.381,
5,3,13,8,4,3,2,7,8,8,8,8,4,3,2,7,8,8,8,8,14,13,8,3,15,20,9,11,1,1,1,0.699,
5,3,13,9,5,7,6,1,8,8,8,8,5,7,6,3,8,8,8,8,17,3,8,9,11,10,1,16,0,0,1,0.7,
5,3,13,10,3,7,4,6,8,8,8,8,3,7,4,6,8,8,8,8,1,15,9,11,3,16,12,4,1,1,1,0.605,
5,3,13,11,6,1,2,7,8,8,8,8,6,1,2,5,8,8,8,8,8,16,7,17,4,14,1,13,0,0,1,0.684,
5,3,13,12,4,6,3,5,8,8,8,8,4,6,3,5,8,8,8,8,13,10,15,6,7,17,20,2,1,1,1,0.746,
5,3,13,13,1,7,6,5,8,8,8,8,1,7,6,5,8,8,8,8,18,12,16,9,2,11,1,10,1,1,1,0.634,
5,3,13,14,3,2,7,1,8,8,8,8,3,2,7,1,8,8,8,8,16,13,5,19,14,6,7,4,1,1,1,0.963,
5,3,13,15,5,3,4,6,8,8,8,8,5,3,4,2,8,8,8,8,5,6,3,16,20,15,1,8,0,0,1,0.627,
5,3,13,16,2,3,1,4,8,8,8,8,2,3,1,4,8,8,8,8,2,16,14,4,7,15,12,19,1,1,1,0.386,
5,3,13,17,2,5,3,1,8,8,8,8,2,5,3,1,8,8,8,8,12,13,7,10,16,2,17,8,1,1,1,0.56,
5,3,13,18,2,6,4,3,8,8,8,8,2,6,4,3,8,8,8,8,11,10,3,5,18,9,1,6,1,1,1,0.497,
5,3,13,19,5,2,3,4,8,8,8,8,5,2,3,7,8,8,8,8,16,10,7,4,17,8,20,9,0,0,1,1.047,
5,3,13,20,2,3,6,7,8,8,8,8,2,3,6,7,8,8,8,8,16,3,19,14,2,6,11,4,1,1,1,0.626,
5,3,13,21,3,4,1,5,8,8,8,8,3,4,1,5,8,8,8,8,14,9,3,18,1,2,15,16,1,1,1,0.536,
5,3,13,22,4,2,1,6,8,8,8,8,4,2,1,6,8,8,8,8,18,10,15,11,5,4,1,12,1,1,1,0.566,
5,3,13,23,6,4,1,3,8,8,8,8,6,4,1,7,8,8,8,8,17,4,18,6,3,7,5,8,0,0,1,0.478,
5,3,13,24,7,5,3,4,8,8,8,8,7,5,3,6,8,8,8,8,14,8,17,2,4,19,13,15,0,0,1,0.698,
5,3,13,25,1,2,5,3,8,8,8,8,1,2,5,3,8,8,8,8,9,6,11,3,12,14,17,18,1,1,1,0.536,
5,3,13,26,2,1,7,5,8,8,8,8,2,1,7,5,8,8,8,8,19,17,12,18,10,7,6,14,1,1,1,0.664,
5,3,13,27,4,7,2,1,8,8,8,8,4,7,2,3,8,8,8,8,15,20,11,14,9,2,12,19,0,0,1,0.49,
5,3,13,28,1,5,2,6,8,8,8,8,1,5,2,6,8,8,8,8,13,6,9,3,7,16,15,8,1,1,1,0.468,
5,3,13,29,1,5,6,7,8,8,8,8,1,5,6,7,8,8,8,8,4,14,7,6,5,15,8,2,1,1,1,0.377,
5,3,13,30,5,4,1,7,8,8,8,8,5,4,1,3,8,8,8,8,8,17,3,20,12,14,6,13,0,1,0,0.466,
5,3,13,31,3,6,2,4,8,8,8,8,3,6,2,4,8,8,8,8,18,19,20,13,12,7,9,8,1,1,1,0.367,
5,3,13,32,7,6,2,3,8,8,8,8,7,6,2,4,8,8,8,8,6,18,19,5,13,20,10,15,0,0,1,0.653,
5,3,13,33,4,1,6,3,8,8,8,8,4,1,6,2,8,8,8,8,5,15,10,12,7,6,4,8,0,0,1,0.707,
5,3,13,34,7,3,1,2,8,8,8,8,7,3,1,6,8,8,8,8,3,15,8,1,17,9,10,14,0,0,1,0.792,
5,3,13,35,7,4,6,1,8,8,8,8,7,4,6,5,8,8,8,8,20,2,15,1,7,14,6,3,0,0,1,0.724,
5,3,13,36,5,6,7,2,8,8,8,8,5,6,7,4,8,8,8,8,17,18,1,12,8,9,10,15,0,0,1,0.649,
5,3,13,37,7,1,4,5,8,8,8,8,7,1,4,6,8,8,8,8,12,19,7,18,10,11,9,16,0,0,1,0.838,
5,3,13,38,6,7,4,5,8,8,8,8,6,7,4,2,8,8,8,8,12,13,10,11,8,20,18,16,0,0,1,0.568,
5,3,13,39,2,4,5,6,8,8,8,8,2,4,5,6,8,8,8,8,10,4,18,13,9,16,11,20,1,1,1,0.576,
5,3,13,40,7,2,5,6,8,8,8,8,7,2,5,1,8,8,8,8,1,18,3,7,20,2,16,13,0,0,1,0.498,
5,4,14,1,1,1,2,3,3,5,5,7,1,1,2,3,3,5,5,7,3,7,2,15,17,9,1,12,1,1,1,0.702,
5,4,14,2,1,3,4,4,5,6,7,7,1,3,4,3,5,6,7,7,4,14,19,9,2,11,8,18,0,1,0,0.633,
5,4,14,3,1,1,2,4,4,5,6,7,1,1,2,4,4,5,6,7,8,5,11,17,14,20,15,6,1,0,0,0.697,
5,4,14,4,1,2,3,4,4,5,6,6,1,2,3,4,4,5,6,6,13,15,12,18,5,3,17,8,1,1,1,0.803,
5,4,14,5,2,2,3,4,5,6,6,7,2,5,3,4,5,6,6,7,8,13,3,1,18,16,2,11,0,1,0,0.535,
5,4,14,6,1,2,2,3,3,4,5,7,1,2,2,3,3,4,5,7,8,7,5,17,11,18,12,19,1,1,1,0.729,
5,4,14,7,1,1,2,2,3,4,6,7,1,1,2,2,3,4,5,7,13,6,8,5,9,14,4,2,0,0,1,0.805,
5,4,14,8,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,6,13,10,1,12,20,2,14,1,1,1,0.421,
5,4,14,9,1,1,2,2,3,4,5,7,1,1,2,2,3,4,5,7,17,9,13,1,20,11,15,16,1,1,1,0.489,
5,4,14,10,1,2,3,4,4,5,7,7,1,2,3,4,4,6,7,7,4,8,15,3,14,2,19,1,0,0,1,0.89,
5,4,14,11,1,2,2,3,4,4,6,6,1,2,2,3,4,4,6,6,10,13,5,8,12,11,16,9,1,1,1,0.45,
5,4,14,12,1,3,4,5,5,6,6,7,2,3,4,5,5,6,6,7,11,14,15,1,19,16,18,10,0,0,1,0.646,
5,4,14,13,3,3,4,4,5,5,6,7,3,3,7,4,5,5,6,7,10,13,17,14,18,6,15,5,0,1,0,0.492,
5,4,14,14,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,19,14,12,16,9,13,18,15,1,1,1,0.455,
5,4,14,15,2,2,3,4,5,6,7,7,2,2,3,4,6,6,7,7,20,4,13,1,12,6,5,2,0,0,1,0.654,
5,4,14,16,2,3,3,4,4,5,6,7,1,3,3,4,4,5,6,7,7,18,3,10,13,9,20,6,0,0,1,1.078,
5,4,14,17,1,2,4,4,5,5,7,7,1,2,3,4,5,5,7,7,6,8,17,9,12,18,15,13,0,1,0,0.678,
5,4,14,18,1,1,2,3,4,6,7,7,1,1,2,3,4,6,7,7,18,20,16,2,6,5,13,12,1,1,1,0.495,
5,4,14,19,1,2,2,3,4,6,7,7,1,2,2,3,4,5,7,7,2,19,14,9,20,1,10,3,0,1,0,0.789,
5,4,14,20,2,3,4,5,5,6,6,7,1,3,4,5,5,6,6,7,16,9,4,1,8,13,12,20,0,1,0,0.475,
5,4,14,21,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,18,10,13,19,14,12,5,20,1,1,1,0.368,
5,4,14,22,1,2,2,3,5,6,7,7,1,1,2,3,5,6,7,7,1,17,11,9,10,6,7,5,0,1,0,0.39,
5,4,14,23,1,2,2,3,3,4,5,7,6,2,2,3,3,4,5,7,10,1,17,11,5,3,20,12,0,0,1,0.66,
5,4,14,24,3,3,4,4,5,6,6,7,5,3,4,4,5,6,6,7,17,5,10,4,2,9,3,12,0,1,0,0.487,
5,4,14,25,3,4,5,5,6,6,7,7,3,4,4,5,6,6,7,7,1,17,10,4,3,5,16,8,0,1,0,0.402,
5,4,14,26,1,1,2,3,6,6,7,7,1,1,2,3,6,6,7,7,17,19,3,5,20,15,1,9,1,1,1,0.601,
5,4,14,27,1,3,4,5,5,6,7,7,1,3,4,1,5,6,7,7,12,14,10,19,17,4,11,9,0,1,0,0.424,
5,4,14,28,1,2,3,3,4,6,6,7,1,2,3,3,5,6,6,7,6,8,20,14,17,15,11,19,0,1,0,0.72,
5,4,14,29,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,8,6,5,4,18,17,20,1,1,1,1,0.446,
5,4,14,30,1,1,2,4,5,6,6,7,1,1,2,4,5,6,6,7,5,14,17,6,15,3,20,12,1,1,1,0.427,
5,4,14,31,1,2,2,3,5,5,7,7,1,2,2,4,5,5,7,7,6,14,20,10,3,12,9,18,0,1,0,0.317,
5,4,14,32,1,1,2,3,3,4,5,6,1,1,2,3,3,4,5,6,2,11,10,6,8,17,12,4,1,1,1,0.469,
5,4,14,33,1,1,2,3,4,6,6,7,1,1,2,3,4,6,6,7,5,12,3,9,19,20,10,7,1,1,1,0.541,
5,4,14,34,1,1,2,3,3,4,5,7,1,1,2,3,3,4,5,7,17,1,12,20,19,13,9,5,1,1,1,0.444,
5,4,14,35,1,1,2,2,3,4,7,7,1,1,2,2,3,4,7,7,7,10,20,4,9,13,2,6,1,1,1,0.41,
5,4,14,36,1,1,3,4,5,6,7,7,1,1,3,4,5,6,7,7,9,12,3,8,17,6,5,13,1,1,1,0.498,
5,4,14,37,2,3,4,4,5,5,6,6,7,3,4,4,5,5,6,6,2,1,18,9,14,7,19,17,0,1,0,0.505,
5,4,14,38,1,1,2,2,4,5,6,7,1,1,2,2,4,5,6,7,2,17,19,15,3,8,4,10,1,0,0,0.961,
5,4,14,39,1,1,3,3,4,4,5,7,1,1,3,3,4,4,5,7,14,16,9,6,1,3,8,17,1,1,1,0.665,
5,4,14,40,1,2,3,5,5,6,6,7,1,4,3,5,5,6,6,7,5,13,7,18,10,15,17,16,0,0,1,0.957,
6,2,21,1,2,3,3,4,4,5,6,7,1,3,3,4,4,5,6,7,9,3,19,13,4,11,10,18,0,1,0,1.188,
6,2,21,2,3,4,5,5,6,6,7,7,3,4,4,5,6,6,7,7,6,3,10,19,14,15,16,4,0,1,0,0.697,
6,2,21,3,1,1,2,3,4,6,6,7,1,1,2,3,4,6,6,7,19,6,17,14,18,3,16,20,1,1,1,1.109,
6,2,21,4,1,1,2,2,3,4,5,7,1,1,2,2,3,4,5,7,6,17,18,14,11,12,4,13,1,1,1,0.907,
6,2,21,5,1,2,2,3,3,4,5,7,1,2,2,3,3,4,5,7,4,12,1,13,8,6,9,19,1,0,0,1.093,
6,2,21,6,2,2,3,4,5,6,6,7,2,5,3,4,5,6,6,7,10,13,20,5,9,16,7,12,0,0,1,0.764,
6,2,21,7,1,2,3,3,4,6,6,7,1,2,3,3,5,6,6,7,4,20,17,5,10,8,19,11,0,0,1,0.828,
6,2,21,8,2,3,4,5,5,6,6,7,1,3,4,5,5,6,6,7,3,17,11,4,9,19,5,7,0,0,1,0.739,
6,2,21,9,1,1,2,3,3,4,5,7,1,1,2,3,3,4,5,7,2,12,11,18,5,15,8,16,1,1,1,0.613,
6,2,21,10,1,2,3,4,4,5,6,6,1,2,3,4,4,5,6,6,10,15,4,12,11,20,18,1,1,1,1,0.641,
6,2,21,11,1,1,2,4,4,5,6,7,1,1,2,4,4,5,6,7,12,5,10,17,15,8,4,9,1,1,1,0.569,
6,2,21,12,1,2,3,5,5,6,6,7,1,4,3,5,5,6,6,7,10,2,4,17,20,5,8,18,0,0,1,0.672,
6,2,21,13,1,2,2,3,4,6,7,7,1,2,2,3,4,5,7,7,3,7,13,9,14,4,11,6,0,0,1,0.646,
6,2,21,14,1,2,2,3,3,4,5,7,6,2,2,3,3,4,5,7,17,18,9,13,7,15,11,19,0,0,1,0.852,
6,2,21,15,3,3,4,4,5,5,6,7,3,3,7,4,5,5,6,7,9,8,10,13,17,6,7,15,0,0,1,0.652,
6,2,21,16,1,1,2,4,5,6,6,7,1,1,2,4,5,6,6,7,15,1,3,19,12,2,5,6,1,1,1,0.67,
6,2,21,17,1,1,3,3,4,4,5,7,1,1,3,3,4,4,5,7,17,19,20,7,12,11,2,16,1,1,1,0.82,
6,2,21,18,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,5,19,11,18,3,7,17,12,1,1,1,0.82,
6,2,21,19,2,3,4,4,5,5,6,6,7,3,4,4,5,5,6,6,10,8,17,7,18,1,12,14,0,0,1,0.594,
6,2,21,20,1,3,4,5,5,6,6,7,2,3,4,5,5,6,6,7,3,4,7,13,10,6,16,8,0,0,1,0.906,
6,2,21,21,1,2,2,3,4,4,6,6,1,2,2,3,4,4,6,6,1,7,12,11,15,10,19,16,1,1,1,0.477,
6,2,21,22,3,3,4,4,5,6,6,7,5,3,4,4,5,6,6,7,9,14,17,8,1,3,18,15,0,1,0,0.957,
6,2,21,23,1,2,3,4,5,5,6,6,1,2,3,4,5,5,6,6,11,16,5,10,18,20,8,17,1,1,1,0.615,
6,2,21,24,1,1,2,3,3,4,5,6,1,1,2,3,3,4,5,6,12,6,18,5,15,8,3,7,1,1,1,0.713,
6,2,21,25,1,1,2,3,3,5,5,7,1,1,2,3,3,5,5,7,6,8,16,9,15,18,20,13,1,1,1,0.548,
6,2,21,26,1,1,2,3,6,6,7,7,1,1,2,3,6,6,7,7,6,11,18,1,13,8,20,7,1,1,1,0.491,
6,2,21,27,1,2,3,4,4,5,7,7,1,2,3,4,4,6,7,7,14,20,17,1,9,10,2,8,0,1,0,0.561,
6,2,21,28,1,1,2,2,3,4,6,7,1,1,2,2,3,4,5,7,15,13,7,20,16,5,18,14,0,0,1,0.497,
6,2,21,29,1,3,4,4,5,6,7,7,1,3,4,3,5,6,7,7,3,12,14,10,9,4,2,13,0,1,0,0.692,
6,2,21,30,1,1,2,2,4,5,6,7,1,1,2,2,4,5,6,7,2,16,14,13,4,19,15,9,1,1,1,0.663,
